row_id,set_id,name,product_type,snapshot_date,current_price,most_expensive_card_price,chase_card_count,chase_card_index_score,set_age_years,google_trends_score,print_run_type_encoded,price_trajectory_6mo,price_trajectory_24mo,collector_demand_ratio,market_cycle_score,popularity_score,product_type_encoded,era_encoded,price_momentum_1mo,price_momentum_12mo,price_volatility_6mo,price_volatility_12mo,drawdown_12mo,history_density_12mo,available_provider_count,provider_spread_pct,provider_agreement_score,snapshot_freshness_days,liquidity_proxy_score,history_window_missing_flag,provider_context_missing_flag,price_1yr_later,price_3yr_later,price_5yr_later
team-rocket:2021-08-01,team-rocket,Team Rocket,Booster Box,2021-08-01,12000.0,160.0,4,82.0,21.2704,72.0,2,,,0.84,92.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6093.89,8008.32,
xy-evolutions:2021-08-01,xy-evolutions,XY Evolutions,Booster Box,2021-08-01,715.0,75.0,3,78.0,4.7447,76.0,0,,,0.55,92.0,82.0,2,0,-3.378,,,,-3.378,100.0,1.0,,,0.0,53.75,1.0,1.0,691.0,740.9,
base-set-unlimited:2021-09-01,base-set-unlimited,Base Set Unlimited,Booster Box,2021-09-01,13963.0,350.0,4,95.0,22.6448,88.0,2,,,0.95,92.0,98.0,2,3,-5.402,,3.6489,3.6489,-11.462,100.0,1.0,,,0.0,53.75,1.0,1.0,11600.0,15710.45,
fossil:2021-09-01,fossil,Fossil,Booster Box,2021-09-01,5850.0,78.0,3,68.0,21.8946,60.0,2,,,0.74,92.0,68.0,2,3,0.0,,6.0149,6.0149,-1.703,100.0,1.0,,,0.0,53.75,1.0,1.0,7500.0,7033.5,
hidden-fates:2021-09-01,hidden-fates,Hidden Fates,ETB,2021-09-01,145.0,350.0,5,88.0,2.026,79.0,2,,,0.78,92.0,85.0,3,0,109.689,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,147.32,156.15,
jungle:2021-09-01,jungle,Jungle,Booster Box,2021-09-01,6851.08,82.0,4,72.0,22.2122,63.0,2,,,0.78,92.0,70.0,2,3,4.753,,11.1503,11.1503,-17.457,100.0,1.0,,,0.0,53.75,1.0,1.0,6000.0,6843.45,
shining-fates:2021-09-01,shining-fates,Shining Fates,ETB,2021-09-01,53.0,100.0,4,76.0,0.5311,67.0,1,,,0.62,92.0,75.0,3,0,-4.505,,8.5342,8.5342,-12.295,100.0,1.0,,,0.0,53.75,1.0,1.0,36.0,42.16,
team-rocket:2021-09-01,team-rocket,Team Rocket,Booster Box,2021-09-01,12000.0,160.0,4,82.0,21.3552,72.0,2,,,0.84,92.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6776.35,8593.49,
xy-evolutions:2021-09-01,xy-evolutions,XY Evolutions,Booster Box,2021-09-01,697.0,75.0,3,78.0,4.8296,76.0,0,,,0.55,92.0,82.0,2,0,-2.517,,11.5954,11.5954,-5.811,100.0,1.0,,,0.0,53.75,1.0,1.0,659.5,762.1,
base-set-unlimited:2021-10-01,base-set-unlimited,Base Set Unlimited,Booster Box,2021-10-01,13177.5,350.0,4,95.0,22.7269,88.0,2,,,0.95,92.0,98.0,2,3,-5.626,,3.3087,3.3087,-16.443,100.0,1.0,,,0.0,53.75,1.0,1.0,12049.0,17000.0,
fossil:2021-10-01,fossil,Fossil,Booster Box,2021-10-01,5750.0,78.0,3,68.0,21.9767,60.0,2,-3.384,,0.74,92.0,68.0,2,3,-1.709,,5.4047,5.4047,-3.384,100.0,1.0,,,0.0,53.75,1.0,1.0,7552.46,7165.7,
hidden-fates:2021-10-01,hidden-fates,Hidden Fates,ETB,2021-10-01,148.75,350.0,5,88.0,2.1081,79.0,2,,,0.78,92.0,85.0,3,0,2.586,,37.3677,37.3677,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,141.5,160.5,
jungle:2021-10-01,jungle,Jungle,Booster Box,2021-10-01,6823.43,82.0,4,72.0,22.2943,63.0,2,-17.79,,0.78,92.0,70.0,2,3,-0.404,,10.1267,10.1267,-17.79,100.0,1.0,,,0.0,53.75,1.0,1.0,4635.42,6843.45,
shining-fates:2021-10-01,shining-fates,Shining Fates,ETB,2021-10-01,57.5,100.0,4,76.0,0.6133,67.0,1,9.524,,0.62,92.0,75.0,3,0,8.491,,8.2634,8.2634,-4.849,100.0,1.0,,,0.0,53.75,1.0,1.0,41.5,40.94,
team-rocket:2021-10-01,team-rocket,Team Rocket,Booster Box,2021-10-01,12000.0,160.0,4,82.0,21.4374,72.0,2,0.0,,0.84,92.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6933.09,8545.53,
xy-evolutions:2021-10-01,xy-evolutions,XY Evolutions,Booster Box,2021-10-01,668.44,75.0,3,78.0,4.9117,76.0,0,,,0.55,92.0,82.0,2,0,-4.098,,10.8332,10.8332,-9.67,100.0,1.0,,,0.0,53.75,1.0,1.0,724.17,888.9,
base-set-unlimited:2021-11-01,base-set-unlimited,Base Set Unlimited,Booster Box,2021-11-01,14100.0,350.0,4,95.0,22.8118,88.0,2,-9.154,,0.95,92.0,98.0,2,3,7.001,,5.2556,5.2556,-10.594,100.0,1.0,,,0.0,53.75,1.0,1.0,12049.0,15368.33,
cosmic-eclipse:2021-11-01,cosmic-eclipse,Cosmic Eclipse,Booster Box,2021-11-01,456.82,450.0,4,88.0,2.0014,80.0,2,4865.435,,0.82,92.0,86.0,2,0,3050.483,,134.6143,134.6143,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,491.5,908.0,
fossil:2021-11-01,fossil,Fossil,Booster Box,2021-11-01,5700.0,78.0,3,68.0,22.0616,60.0,2,-4.224,,0.74,92.0,68.0,2,3,-0.87,,4.9343,4.9343,-4.224,100.0,1.0,,,0.0,53.75,1.0,1.0,7550.12,7962.51,
fusion-strike:2021-11-01,fusion-strike,Fusion Strike,Booster Box,2021-11-01,25.0,180.0,5,80.0,0.0,69.0,1,,,0.6,92.0,70.0,2,0,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,105.0,249.18,
hidden-fates:2021-11-01,hidden-fates,Hidden Fates,ETB,2021-11-01,215.13,350.0,5,88.0,2.193,79.0,2,,,0.78,92.0,85.0,3,0,44.625,,33.2768,33.2768,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,138.4,166.4,
jungle:2021-11-01,jungle,Jungle,Booster Box,2021-11-01,6123.5,82.0,4,72.0,22.3792,63.0,2,-26.223,,0.78,92.0,70.0,2,3,-10.258,,9.5958,9.5958,-26.223,100.0,1.0,,,0.0,53.75,1.0,1.0,4635.42,6828.91,
shining-fates:2021-11-01,shining-fates,Shining Fates,ETB,2021-11-01,54.85,100.0,4,76.0,0.6982,67.0,1,4.476,,0.62,92.0,75.0,3,0,-4.609,,7.9271,7.9271,-9.234,100.0,1.0,,,0.0,53.75,1.0,1.0,36.0,45.0,
team-rocket:2021-11-01,team-rocket,Team Rocket,Booster Box,2021-11-01,12000.0,160.0,4,82.0,21.5222,72.0,2,0.0,,0.84,92.0,80.0,2,3,0.0,,0.0,0.0,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,4379.98,8874.99,
team-up:2021-11-01,team-up,Team Up,Booster Box,2021-11-01,679.94,1000.0,5,92.0,2.7488,84.0,2,571.546,,0.86,92.0,90.0,2,0,571.546,,76.1765,76.1765,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,840.64,2823.59,
xy-evolutions:2021-11-01,xy-evolutions,XY Evolutions,Booster Box,2021-11-01,623.09,75.0,3,78.0,4.9966,76.0,0,4.494,,0.55,92.0,82.0,2,0,-6.784,,10.4646,10.4646,-15.799,100.0,1.0,,,0.0,53.75,1.0,1.0,780.0,873.26,
base-set-unlimited:2021-12-01,base-set-unlimited,Base Set Unlimited,Booster Box,2021-12-01,13441.71,350.0,4,95.0,22.8939,88.0,2,-13.395,,0.95,92.0,98.0,2,3,-4.669,,4.9147,4.9147,-14.768,100.0,1.0,,,0.0,53.75,1.0,1.0,13500.0,12356.31,
